OrderNumber;Sales Channel;OrderDate;ShipDate;DeliveryDate;CurrencyCode;_SalesTeamID;salesteam name;_StoreID;StateName;statecode;household income;population;City Name;_ProductID;Order Quantity;Discount Applied;Unit Price;Unit Cost
SO - 0004994;Distributor;05/01/2020;01/02/2020;02/02/2020;USD;24;Roy Rice;218;Michigan;MI;53493;135.358;Warren;43;4;5%;6.539,20;4.708,22
SO - 0004995;In-Store;05/01/2020;31/01/2020;10/02/2020;USD;1;Adam Hernandez;345;Utah;UT;32506;115.264;Provo;20;4;7,5%;3.517,50;2.778,83
SO - 0004996;Distributor;05/01/2020;11/01/2020;19/01/2020;USD;21;Samuel Fowler;132;Florida;FL;41422;107.762;Pompano Beach;31;2;7,5%;2.338,30;1.099,00
SO - 0004997;In-Store;05/01/2020;21/01/2020;25/01/2020;USD;4;Chris Armstrong;151;Illinois;IL;61449;200.661;Aurora;25;1;20%;2.231,10;892,44
SO - 0004998;In-Store;05/01/2020;12/01/2020;17/01/2020;USD;3;Jerry Green;96;Colorado;CO;58918;161.175;Fort Collins;16;6;7,5%;911,20;537,61
SO - 0004999;Online;05/01/2020;09/01/2020;16/01/2020;USD;19;Nicholas Cunningham;326;Texas;TX;66308;255.473;Laredo;5;7;5%;6.277,90;4.520,09
SO - 0005000;Distributor;05/01/2020;17/01/2020;25/01/2020;USD;23;Douglas Tucker;333;Texas;TX;39057;118.968;Odessa;46;3;20%;2.371,80;996,16
SO - 0005001;In-Store;05/01/2020;16/01/2020;20/01/2020;USD;6;Joshua Bennett;304;Tennessee;TN;249775;655.770;Memphis;35;2;20%;1.969,80;984,90
SO - 0005002;In-Store;05/01/2020;07/01/2020;14/01/2020;USD;5;Stephen Payne;26;California;CA;40908;113.204;Costa Mesa;24;2;20%;5.996,50;2.818,36
SO - 0005003;Distributor;05/01/2020;30/01/2020;03/02/2020;USD;25;Patrick Graham;192;Indiana;IN;41596;106.185;Wayne;26;8;10%;3.865,90;2.396,86
SO - 0005004;In-Store;05/01/2020;09/01/2020;13/01/2020;USD;5;Stephen Payne;22;California;CA;78066;265.757;Chula Vista;4;5;7,5%;5.768,70;4.557,27
SO - 0005005;Online;06/01/2020;27/01/2020;30/01/2020;USD;15;Roger Alexander;166;Illinois;IL;50073;147.100;Naperville;15;5;15%;1.916,20;1.341,34
SO - 0005006;In-Store;06/01/2020;09/01/2020;11/01/2020;USD;11;Joshua Little;73;California;CA;37861;103.536;San Mateo;13;2;7,5%;1.989,90;1.392,93
SO - 0005007;In-Store;06/01/2020;29/01/2020;05/02/2020;USD;1;Adam Hernandez;139;Georgia;GA;45389;123.912;Athens;45;1;10%;3.370,10;2.763,48
SO - 0005008;Distributor;06/01/2020;24/01/2020;03/02/2020;USD;22;Joe Price;9;Arizona;AZ;168914;471.825;Mesa;46;6;20%;850,90;697,74
SO - 0005009;Wholesale;06/01/2020;03/02/2020;13/02/2020;USD;26;Donald Reynolds;83;California;CA;45912;129.339;Thousand Oaks;32;2;5%;1.125,60;697,87
SO - 0005010;Distributor;06/01/2020;18/01/2020;26/01/2020;USD;24;Roy Rice;51;California;CA;32685;109.830;Murrieta;25;8;7,5%;6.157,30;3.509,66
SO - 0005011;Wholesale;06/01/2020;21/01/2020;27/01/2020;USD;27;Shawn Torres;13;Arizona;AZ;45054;128.422;Surprise;24;6;7,5%;1.005,00;592,95
SO - 0005012;In-Store;06/01/2020;26/01/2020;31/01/2020;USD;2;Keith Griffin;317;Texas;TX;43745;131.044;Denton;28;5;7,5%;2.479,00;1.735,30
SO - 0005013;Wholesale;06/01/2020;27/01/2020;30/01/2020;USD;28;Carlos Miller;189;Indiana;IN;39448;101.516;South Bend;8;5;7,5%;1.989,90;1.492,43
SO - 0005014;In-Store;06/01/2020;31/01/2020;01/02/2020;USD;8;George Lewis;34;California;CA;34623;112.970;Fairfield;10;7;5%;716,90;336,94
SO - 0005015;In-Store;07/01/2020;19/01/2020;22/01/2020;USD;2;Keith Griffin;351;Virginia;VA;81518;235.429;Chesapeake;9;4;10%;1.688,40;894,85
SO - 0005016;In-Store;07/01/2020;13/01/2020;23/01/2020;USD;2;Keith Griffin;6;Arizona;AZ;88973;260.828;Chandler;31;8;30%;2.619,70;1.938,58
SO - 0005017;In-Store;07/01/2020;25/01/2020;01/02/2020;USD;7;Shawn Cook;212;Maryland;MD;39893;102.116;Columbia;2;3;5%;1.728,60;1.400,17
SO - 0005018;Distributor;07/01/2020;09/01/2020;10/01/2020;USD;21;Samuel Fowler;223;Missouri;MO;48313;117.255;Independence;32;1;7,5%;3.993,20;1.637,21
SO - 0005019;In-Store;07/01/2020;03/02/2020;04/02/2020;USD;5;Stephen Payne;202;Louisiana;LA;50025;127.657;Lafayette;33;3;5%;2.398,60;1.199,30
SO - 0005020;In-Store;07/01/2020;10/01/2020;15/01/2020;USD;8;George Lewis;19;California;CA;45917;120.972;Berkeley;24;6;5%;884,40;548,33
SO - 0005021;In-Store;07/01/2020;03/02/2020;10/02/2020;USD;7;Shawn Cook;93;Colorado;CO;38991;109.741;Centennial;25;8;10%;804,00;353,76
SO - 0005022;In-Store;07/01/2020;09/01/2020;10/01/2020;USD;4;Chris Armstrong;175;Illinois;IL;49006;132.162;Schaumburg (Township);14;6;15%;897,80;475,83
SO - 0005023;In-Store;07/01/2020;17/01/2020;19/01/2020;USD;4;Chris Armstrong;189;Indiana;IN;39448;101.516;South Bend;39;4;7,5%;3.859,20;1.891,01
SO - 0005024;In-Store;07/01/2020;02/02/2020;05/02/2020;USD;6;Joshua Bennett;257;Nevada;NV;60366;187.647;Sunrise Manor;18;7;10%;951,40;675,49
SO - 0005025;In-Store;07/01/2020;22/01/2020;25/01/2020;USD;5;Stephen Payne;339;Texas;TX;36409;100.450;San Angelo;13;2;10%;201,00;120,60
SO - 0005026;In-Store;07/01/2020;10/01/2020;20/01/2020;USD;11;Joshua Little;318;Texas;TX;220682;681.124;El Paso;10;3;15%;2.566,10;1.950,24
SO - 0005027;In-Store;07/01/2020;12/01/2020;14/01/2020;USD;12;Carl Nguyen;149;Iowa;IA;81717;210.330;Des Moines;44;7;5%;1.728,60;968,02
SO - 0005028;Online;08/01/2020;12/01/2020;15/01/2020;USD;17;Frank Brown;40;California;CA;71498;201.020;Glendale;39;3;7,5%;5.132,20;3.028,00
SO - 0005029;Online;08/01/2020;21/01/2020;31/01/2020;USD;19;Nicholas Cunningham;261;New York;NY;880727;2.636.735;Brooklyn;44;6;7,5%;5.480,60;4.439,29
SO - 0005030;In-Store;08/01/2020;14/01/2020;21/01/2020;USD;8;George Lewis;262;New York;NY;110549;258.071;Buffalo;22;4;15%;3.953,00;2.688,04
SO - 0005031;Wholesale;08/01/2020;20/01/2020;27/01/2020;USD;26;Donald Reynolds;171;Illinois;IL;43267;104.291;Peoria City;31;6;7,5%;964,80;530,64
SO - 0005032;Online;08/01/2020;12/01/2020;19/01/2020;USD;20;Anthony Torres;131;Florida;FL;56171;166.611;Pembroke Pines;19;4;7,5%;1.943,00;1.068,65
SO - 0005033;Online;08/01/2020;26/01/2020;31/01/2020;USD;19;Nicholas Cunningham;344;Texas;TX;37200;104.710;Wichita Falls;6;8;15%;3.892,70;3.075,23
SO - 0005034;Online;08/01/2020;20/01/2020;29/01/2020;USD;12;Carl Nguyen;138;Florida;FL;41474;106.779;West Palm Beach;16;3;7,5%;5.822,30;4.541,39
SO - 0005985;In-Store;28/04/2020;09/05/2020;13/05/2020;USD;7;Shawn Cook;341;Texas;TX;38114;102.911;The Woodlands;1;1;10%;1.139,00;683,40
SO - 0005036;Wholesale;08/01/2020;15/01/2020;16/01/2020;USD;27;Shawn Torres;82;California;CA;32835;112.011;Temecula;32;4;10%;3.128,90;1.439,29
SO - 0005037;Distributor;08/01/2020;04/02/2020;09/02/2020;USD;25;Patrick Graham;303;Tennessee;TN;81073;185.291;Knoxville;24;3;7,5%;2.318,20;1.553,19
SO - 0005038;In-Store;09/01/2020;30/01/2020;08/02/2020;USD;11;Joshua Little;183;Indiana;IN;51271;119.943;Evansville;42;5;10%;1.735,30;1.145,30
SO - 0005039;Distributor;09/01/2020;14/01/2020;24/01/2020;USD;25;Patrick Graham;85;California;CA;41216;121.253;Vallejo;30;7;5%;3.879,30;1.551,72
SO - 0005040;Online;09/01/2020;23/01/2020;25/01/2020;USD;17;Frank Brown;76;California;CA;59247;182.371;Santa Clarita;18;8;5%;3.932,90;1.887,79
SO - 0005041;In-Store;09/01/2020;25/01/2020;04/02/2020;USD;4;Chris Armstrong;163;Illinois;IL;39769;112.890;Lyons (Township);9;2;10%;1.045,20;543,50
SO - 0005042;In-Store;09/01/2020;16/01/2020;24/01/2020;USD;5;Stephen Payne;66;California;CA;178185;490.712;Sacramento;38;7;10%;214,40;124,35
SO - 0005043;In-Store;09/01/2020;02/02/2020;10/02/2020;USD;5;Stephen Payne;301;Tennessee;TN;70228;176.588;Chattanooga;10;4;5%;897,80;466,86
SO - 0005044;In-Store;09/01/2020;16/01/2020;21/01/2020;USD;1;Adam Hernandez;289;Oregon;OR;38773;110.553;Gresham;40;1;30%;1.139,00;717,57
SO - 0005045;In-Store;09/01/2020;14/01/2020;19/01/2020;USD;6;Joshua Bennett;339;Texas;TX;36409;100.450;San Angelo;19;5;5%;5.460,50;2.348,02
SO - 0005046;Wholesale;09/01/2020;26/01/2020;31/01/2020;USD;27;Shawn Torres;128;Florida;FL;38474;137.132;Miramar;24;3;7,5%;2.391,90;1.841,76
SO - 0005047;Distributor;09/01/2020;02/02/2020;11/02/2020;USD;24;Roy Rice;276;New York;NY;523690;1.455.444;The Bronx;18;6;30%;5.996,50;4.557,34
SO - 0005048;Wholesale;10/01/2020;25/01/2020;01/02/2020;USD;27;Shawn Torres;343;Texas;TX;46719;132.356;Waco;38;2;7,5%;1.728,60;726,01
SO - 0005049;Wholesale;10/01/2020;23/01/2020;24/01/2020;USD;25;Patrick Graham;330;Texas;TX;50455;162.898;McKinney;16;4;15%;3.343,30;2.240,01
SO - 0005050;In-Store;10/01/2020;21/01/2020;22/01/2020;USD;2;Keith Griffin;149;Iowa;IA;81717;210.330;Des Moines;19;6;10%;174,20;81,87
SO - 0005051;Online;10/01/2020;13/01/2020;15/01/2020;USD;12;Carl Nguyen;324;Texas;TX;83649;236.607;Irving;31;6;5%;1.058,60;561,06
SO - 0005052;Wholesale;10/01/2020;14/01/2020;18/01/2020;USD;26;Donald Reynolds;327;Texas;TX;38430;104.039;Lewisville;12;5;7,5%;964,80;395,57
SO - 0005053;In-Store;10/01/2020;21/01/2020;29/01/2020;USD;5;Stephen Payne;81;California;CA;55094;151.754;Sunnyvale;18;1;5%;3.966,40;2.300,51
SO - 0005054;In-Store;10/01/2020;24/01/2020;28/01/2020;USD;1;Adam Hernandez;42;California;CA;74460;201.899;Huntington Beach;26;1;5%;2.633,10;1.895,83
SO - 0005055;Online;10/01/2020;19/01/2020;22/01/2020;USD;13;Todd Roberts;360;Washington;WA;37994;100.242;Renton;36;7;5%;1.011,70;819,48
SO - 0005056;In-Store;10/01/2020;25/01/2020;02/02/2020;USD;8;George Lewis;63;California;CA;36973;109.708;Richmond;30;8;5%;3.892,70;2.802,74
SO - 0005057;Distributor;10/01/2020;20/01/2020;23/01/2020;USD;22;Joe Price;331;Texas;TX;47795;144.788;Mesquite;17;7;5%;3.805,60;1.636,41
SO - 0005058;In-Store;10/01/2020;15/01/2020;18/01/2020;USD;6;Joshua Bennett;274;New York;NY;156341;474.558;Staten Island;19;7;5%;1.031,80;825,44
SO - 0005059;In-Store;10/01/2020;28/01/2020;30/01/2020;USD;8;George Lewis;109;Connecticut;CT;46974;128.874;Stamford;3;4;5%;6.090,30;2.618,83
SO - 0005060;In-Store;11/01/2020;28/01/2020;03/02/2020;USD;8;George Lewis;307;Texas;TX;42348;121.721;Abilene;19;2;5%;3.892,70;2.102,06
SO - 0005061;Wholesale;11/01/2020;31/01/2020;02/02/2020;USD;27;Shawn Torres;120;Florida;FL;47968;130.128;Gainesville;14;1;10%;2.231,10;1.070,93
SO - 0005062;In-Store;11/01/2020;22/01/2020;30/01/2020;USD;11;Joshua Little;172;Illinois;IL;54255;151.772;Proviso;46;6;15%;3.953,00;3.320,52
SO - 0005063;Online;11/01/2020;21/01/2020;28/01/2020;USD;20;Anthony Torres;145;Georgia;GA;52798;145.674;Savannah;18;1;7,5%;931,30;726,41
SO - 0005064;In-Store;11/01/2020;20/01/2020;25/01/2020;USD;6;Joshua Bennett;2;Alabama;AL;78554;190.582;Huntsville;31;4;30%;2.626,40;1.365,73
SO - 0005065;Online;11/01/2020;07/02/2020;12/02/2020;USD;15;Roger Alexander;256;Nevada;NV;70748;183.937;Spring Valley;14;6;15%;1.681,70;1.294,91
SO - 0005066;Distributor;11/01/2020;20/01/2020;21/01/2020;USD;22;Joe Price;361;Washington;WA;296633;684.451;Seattle;5;2;20%;1.266,30;987,71
SO - 0005067;Online;11/01/2020;07/02/2020;08/02/2020;USD;14;Paul Holmes;84;California;CA;55377;148.475;Torrance;47;5;10%;3.356,70;1.879,75
SO - 0005068;In-Store;11/01/2020;07/02/2020;15/02/2020;USD;6;Joshua Bennett;228;Montana;MT;44092;110.263;Billings;3;6;10%;1.112,20;767,42
SO - 0005069;In-Store;11/01/2020;01/02/2020;02/02/2020;USD;1;Adam Hernandez;272;New York;NY;85741;209.802;Rochester;28;8;5%;1.862,60;819,54
SO - 0005070;In-Store;11/01/2020;07/02/2020;12/02/2020;USD;7;Shawn Cook;154;Illinois;IL;40159;110.683;Bremen;2;2;10%;254,60;106,93
SO - 0005071;In-Store;11/01/2020;18/01/2020;28/01/2020;USD;11;Joshua Little;174;Illinois;IL;69780;173.110;Rockford (Township);45;1;20%;3.919,50;2.822,04
SO - 0005072;Distributor;11/01/2020;03/02/2020;13/02/2020;USD;24;Roy Rice;174;Illinois;IL;69780;173.110;Rockford (Township);4;1;5%;3.979,80;3.024,65
SO - 0005073;In-Store;12/01/2020;18/01/2020;21/01/2020;USD;10;Jonathan Hawkins;243;New Jersey;NJ;39433;129.007;Elizabeth;2;6;15%;3.859,20;1.852,42
SO - 0005074;Online;12/01/2020;23/01/2020;29/01/2020;USD;20;Anthony Torres;173;Illinois;IL;58559;148.278;Rockford;15;8;30%;214,40;109,34
SO - 0005075;Wholesale;12/01/2020;30/01/2020;03/02/2020;USD;28;Carlos Miller;39;California;CA;46998;175.393;Garden Grove;24;1;7,5%;1.252,90;989,79
SO - 0005076;Online;12/01/2020;22/01/2020;28/01/2020;USD;13;Todd Roberts;166;Illinois;IL;50073;147.100;Naperville;23;8;15%;4.013,30;2.367,85
SO - 0005077;Online;12/01/2020;30/01/2020;09/02/2020;USD;14;Paul Holmes;128;Florida;FL;38474;137.132;Miramar;34;8;7,5%;1.112,20;645,08
SO - 0005078;Distributor;12/01/2020;09/02/2020;14/02/2020;USD;22;Joe Price;292;Oregon;OR;57729;164.549;Salem;36;8;5%;3.859,20;2.662,85
SO - 0005079;Online;12/01/2020;20/01/2020;21/01/2020;USD;17;Frank Brown;83;California;CA;45912;129.339;Thousand Oaks;46;5;10%;3.825,70;3.137,07
SO - 0005080;In-Store;12/01/2020;21/01/2020;26/01/2020;USD;7;Shawn Cook;26;California;CA;40908;113.204;Costa Mesa;47;7;10%;241,20;173,66
SO - 0005081;Online;12/01/2020;26/01/2020;04/02/2020;USD;13;Todd Roberts;302;Tennessee;TN;51776;149.176;Clarksville;38;5;40%;3.979,80;2.467,48
SO - 0005082;Wholesale;12/01/2020;28/01/2020;01/02/2020;USD;26;Donald Reynolds;237;North Carolina;NC;93267;241.218;Winston-Salem;41;8;7,5%;3.899,40;3.197,51
SO - 0005083;In-Store;12/01/2020;31/01/2020;09/02/2020;USD;7;Shawn Cook;49;California;CA;70481;211.266;Modesto;30;3;5%;2.412,00;1.736,64
SO - 0005084;In-Store;12/01/2020;03/02/2020;05/02/2020;USD;3;Jerry Green;85;California;CA;41216;121.253;Vallejo;10;8;7,5%;5.875,90;4.289,41
SO - 0005085;Online;12/01/2020;19/01/2020;24/01/2020;USD;19;Nicholas Cunningham;343;Texas;TX;46719;132.356;Waco;36;1;30%;5.293,00;3.122,87
SO - 0005086;Online;13/01/2020;29/01/2020;03/02/2020;USD;14;Paul Holmes;280;Ohio;OH;167100;388.072;Cleveland;19;7;7,5%;3.912,80;1.995,53
SO - 0005087;In-Store;13/01/2020;21/01/2020;27/01/2020;USD;9;Joshua Ryan;244;New Jersey;NJ;99058;264.290;Jersey City;5;3;7,5%;1.159,10;718,64
SO - 0005088;In-Store;13/01/2020;20/01/2020;27/01/2020;USD;3;Jerry Green;89;California;CA;30816;108.484;West Covina;42;4;10%;1.125,60;596,57
SO - 0005089;In-Store;13/01/2020;23/01/2020;30/01/2020;USD;11;Joshua Little;124;Florida;FL;39376;104.401;Lakeland;32;8;5%;3.912,80;1.956,40
SO - 0005090;In-Store;13/01/2020;02/02/2020;09/02/2020;USD;5;Stephen Payne;190;Indiana;IN;38889;103.365;Warren;6;7;5%;227,80;159,46
SO - 0005091;Distributor;13/01/2020;07/02/2020;10/02/2020;USD;24;Roy Rice;282;Ohio;OH;57316;140.599;Dayton;39;7;7,5%;1.018,40;407,36
SO - 0005092;Wholesale;13/01/2020;15/01/2020;23/01/2020;USD;26;Donald Reynolds;27;California;CA;31137;106.562;Daly City;16;8;10%;938,00;684,74
SO - 0005093;Online;13/01/2020;20/01/2020;22/01/2020;USD;16;Anthony Berry;245;New Jersey;NJ;92675;281.944;Newark;43;3;5%;227,80;102,51
SO - 0005094;Distributor;13/01/2020;10/02/2020;11/02/2020;USD;22;Joe Price;112;Connecticut;CT;40213;108.802;Waterbury (Town);47;7;5%;1.005,00;673,35
SO - 0005095;Distributor;14/01/2020;22/01/2020;25/01/2020;USD;23;Douglas Tucker;120;Florida;FL;47968;130.128;Gainesville;35;2;7,5%;227,80;166,29
SO - 0005096;Wholesale;14/01/2020;23/01/2020;01/02/2020;USD;28;Carlos Miller;325;Texas;TX;46952;140.806;Killeen;7;5;5%;1.072,00;546,72
SO - 0006114;Wholesale;15/05/2020;09/06/2020;10/06/2020;USD;26;Donald Reynolds;15;Arizona;AZ;206342;531.641;Tucson;1;1;7,5%;3.953,00;3.360,05
SO - 0005098;In-Store;14/01/2020;03/02/2020;11/02/2020;USD;4;Chris Armstrong;65;California;CA;46547;130.269;Roseville;21;5;5%;4.020,00;3.015,00
SO - 0005099;Wholesale;14/01/2020;09/02/2020;15/02/2020;USD;26;Donald Reynolds;89;California;CA;30816;108.484;West Covina;23;4;5%;5.916,10;3.253,86
SO - 0005100;In-Store;14/01/2020;11/02/2020;16/02/2020;USD;3;Jerry Green;289;Oregon;OR;38773;110.553;Gresham;5;4;10%;1.092,10;567,89
SO - 0005101;Online;14/01/2020;09/02/2020;13/02/2020;USD;14;Paul Holmes;222;Missouri;MO;45024;119.108;Columbia;40;4;15%;3.959,70;2.375,82
SO - 0005102;In-Store;14/01/2020;28/01/2020;01/02/2020;USD;12;Carl Nguyen;272;New York;NY;85741;209.802;Rochester;41;3;10%;3.845,80;1.884,44
SO - 0005103;In-Store;14/01/2020;09/02/2020;12/02/2020;USD;7;Shawn Cook;280;Ohio;OH;167100;388.072;Cleveland;21;7;10%;3.919,50;2.586,87
SO - 0005104;In-Store;14/01/2020;22/01/2020;28/01/2020;USD;4;Chris Armstrong;314;Texas;TX;36175;107.889;College Station;23;6;20%;268,00;131,32
SO - 0006590;Distributor;08/07/2020;18/07/2020;28/07/2020;USD;25;Patrick Graham;131;Florida;FL;56171;166.611;Pembroke Pines;1;1;5%;194,30;81,61
SO - 0005106;In-Store;15/01/2020;12/02/2020;19/02/2020;USD;9;Joshua Ryan;107;Connecticut;CT;49771;130.322;New Haven;32;7;7,5%;2.680,00;1.795,60
SO - 0005107;Online;15/01/2020;19/01/2020;22/01/2020;USD;20;Anthony Torres;19;California;CA;45917;120.972;Berkeley;23;3;7,5%;1.045,20;501,70
SO - 0005108;In-Store;15/01/2020;31/01/2020;01/02/2020;USD;11;Joshua Little;144;Georgia;GA;43058;105.330;Sandy Springs;20;1;5%;5.949,60;3.272,28
SO - 0005109;In-Store;15/01/2020;17/01/2020;19/01/2020;USD;9;Joshua Ryan;75;California;CA;43433;126.215;Santa Clara;20;5;7,5%;3.946,30;1.578,52
SO - 0005110;In-Store;15/01/2020;18/01/2020;19/01/2020;USD;3;Jerry Green;79;California;CA;41972;126.788;Simi Valley;5;2;20%;1.969,80;1.536,44
SO - 0005111;In-Store;15/01/2020;07/02/2020;13/02/2020;USD;1;Adam Hernandez;12;Arizona;AZ;102424;236.839;Scottsdale;24;2;5%;5.862,50;2.872,63
SO - 0005112;Online;15/01/2020;23/01/2020;01/02/2020;USD;19;Nicholas Cunningham;167;Illinois;IL;37133;102.708;Naperville (Township);29;5;15%;1.681,70;739,95
SO - 0005113;Wholesale;16/01/2020;06/02/2020;09/02/2020;USD;26;Donald Reynolds;93;Colorado;CO;38991;109.741;Centennial;11;8;5%;2.432,10;1.361,98
SO - 0005114;In-Store;16/01/2020;19/01/2020;24/01/2020;USD;8;George Lewis;225;Missouri;MO;71268;166.810;Springfield;35;6;7,5%;1.701,80;1.429,51
SO - 0005115;Wholesale;16/01/2020;29/01/2020;01/02/2020;USD;26;Donald Reynolds;167;Illinois;IL;37133;102.708;Naperville (Township);30;8;15%;3.504,10;2.207,58
SO - 0005116;Wholesale;16/01/2020;21/01/2020;31/01/2020;USD;28;Carlos Miller;222;Missouri;MO;45024;119.108;Columbia;16;6;20%;2.639,80;1.689,47
SO - 0005117;In-Store;16/01/2020;01/02/2020;10/02/2020;USD;7;Shawn Cook;294;Pennsylvania;PA;581050;1.567.442;Philadelphia;47;7;7,5%;1.701,80;1.021,08
SO - 0006598;In-Store;09/07/2020;30/07/2020;08/08/2020;USD;10;Jonathan Hawkins;6;Arizona;AZ;88973;260.828;Chandler;1;1;20%;871,00;540,02
SO - 0005119;Online;16/01/2020;27/01/2020;30/01/2020;USD;12;Carl Nguyen;81;California;CA;55094;151.754;Sunnyvale;19;8;20%;1.105,50;696,47
