Ordernumber,Saleschannel,Orderdate,Shipdate,Deliverydate,Currencycode,Salesteamid,SalesteamName,Storid,Statename,Statecode,Householdincome,Population,Cityname,Productid,Productname,Orderquantity,DiscountApplied,Unitprice,UnitCost,Revenue,Profit,,
SO - 0004975,Wholesale,2020-01-02,2020-01-20,2020-01-29,USD,27,Shawn Torres,94,Colorado,CO,174441,456568,Colorado Springs,19,Vanities,5,7.50%,5333.2,4426.56,1999.95,-2426.61,,
SO - 0005007,In-Store,2020-01-06,2020-01-29,2020-02-05,USD,1,Adam Hernandez,139,Georgia,GA,45389,123912,Athens,45,Home Fragrances,1,10%,3370.1,2763.48,337.01,-2426.47,,
SO - 0006236,Distributor,2020-05-28,2020-06-03,2020-06-04,USD,22,Joe Price,343,Texas,TX,46719,132356,Waco,35,Table Linens,1,5%,6385.1,2745.59,319.26,-2426.34,,
SO - 0005940,Online,2020-04-23,2020-05-16,2020-05-25,USD,17,Frank Brown,227,Mississippi,MS,62671,170674,Jackson,7,Dinnerware,1,7.50%,5212.6,2814.8,390.95,-2423.86,,
SO - 0006101,In-Store,2020-05-14,2020-05-25,2020-06-04,USD,11,Joshua Little,169,Illinois,IL,42938,114057,Palatine (Township),16,Stemware,3,5%,6210.9,3353.89,931.64,-2422.25,,
SO - 0005559,Online,2020-03-07,2020-03-09,2020-03-14,USD,20,Anthony Torres,344,Texas,TX,37200,104710,Wichita Falls,5,Bathroom Furniture,2,5%,6050.1,3025.05,605.01,-2420.04,,
SO - 0007269,Wholesale,2020-09-25,2020-10-13,2020-10-15,USD,28,Carlos Miller,292,Oregon,OR,57729,164549,Salem,8,Cocktail Glasses,6,5%,6204.2,4280.9,1861.26,-2419.64,,
SO - 0005942,In-Store,2020-04-23,2020-04-25,2020-05-03,USD,3,Jerry Green,230,North Carolina,NC,305488,827097,Charlotte,24,Wall Frames,5,7.50%,5822.3,4599.62,2183.36,-2416.26,,
SO - 0006670,Wholesale,2020-07-17,2020-07-23,2020-07-27,USD,26,Donald Reynolds,364,Washington,WA,66417,172860,Vancouver,41,Collectibles,2,5%,5366.7,2951.69,536.67,-2415.02,,
SO - 0005474,Online,2020-02-25,2020-03-13,2020-03-19,USD,13,Todd Roberts,202,Louisiana,LA,50025,127657,Lafayette,28,Phones,5,5%,4020,3417,1005,-2412,,
SO - 0005411,Online,2020-02-20,2020-03-18,2020-03-19,USD,12,Carl Nguyen,284,Oklahoma,OK,37246,106563,Broken Arrow,18,Basketball,5,5%,6003.2,3902.08,1500.8,-2401.28,,
SO - 0007542,Online,2020-10-27,2020-11-01,2020-11-08,USD,18,Shawn Wallace,100,Colorado,CO,43249,109412,Pueblo,9,Baseball,3,7.50%,3899.4,3275.5,877.37,-2398.13,,
SO - 0005004,In-Store,2020-01-05,2020-01-09,2020-01-13,USD,5,Stephen Payne,22,California,CA,78066,265757,Chula Vista,4,Serveware,5,7.50%,5768.7,4557.27,2163.26,-2394.01,,
SO - 0006947,Online,2020-08-20,2020-08-26,2020-08-27,USD,19,Nicholas Cunningham,334,Texas,TX,49256,153784,Pasadena,36,Clocks,1,7.50%,6056.8,2846.7,454.26,-2392.44,,
SO - 0005148,Distributor,2020-01-19,2020-01-30,2020-02-05,USD,22,Joe Price,199,Kentucky,KY,125752,314488,Lexington-Fayette,24,Wall Frames,1,15%,6130.5,3310.47,919.58,-2390.9,,
SO - 0005759,Online,2020-04-02,2020-04-16,2020-04-19,USD,18,Shawn Wallace,135,Florida,FL,105443,257083,St. Petersburg,7,Dinnerware,2,7.50%,3919.5,2978.82,587.93,-2390.9,,
SO - 0007622,Wholesale,2020-11-05,2020-11-11,2020-11-17,USD,27,Shawn Torres,162,Illinois,IL,45377,119818,Lisle (Township),25,TV and video,1,15%,3463.9,2909.68,519.59,-2390.09,,
SO - 0006133,In-Store,2020-05-17,2020-05-28,2020-06-03,USD,8,George Lewis,164,Illinois,IL,50680,136667,Maine,37,Platters,4,5%,3879.3,3142.23,775.86,-2366.37,,
SO - 0007623,In-Store,2020-11-05,2020-12-01,2020-12-11,USD,7,Shawn Cook,231,North Carolina,NC,100513,257636,Durham,35,Table Linens,4,5%,4006.6,3165.21,801.32,-2363.89,,
SO - 0007445,Online,2020-10-16,2020-10-31,2020-11-05,USD,15,Roger Alexander,79,California,CA,41972,126788,Simi Valley,20,Bar Tools,8,5%,5889.3,4711.44,2355.72,-2355.72,,
SO - 0006683,Online,2020-07-18,2020-08-07,2020-08-10,USD,13,Todd Roberts,346,Utah,UT,75330,192672,Salt Lake City,19,Vanities,3,7.50%,3879.3,3219.82,872.84,-2346.98,,
SO - 0006911,In-Store,2020-08-15,2020-08-18,2020-08-28,USD,7,Shawn Cook,150,Idaho,ID,86916,218281,Boise City,33,Outdoor Decor,1,20%,3899.4,3119.52,779.88,-2339.64,,
SO - 0006064,In-Store,2020-05-09,2020-06-05,2020-06-08,USD,4,Chris Armstrong,191,Indiana,IN,58263,137215,Washington,39,Floor Lamps,1,15%,3959.7,2930.18,593.96,-2336.22,,
SO - 0006650,Distributor,2020-07-15,2020-07-19,2020-07-23,USD,22,Joe Price,27,California,CA,31137,106562,Daly City,35,Table Linens,3,5%,5306.4,3130.78,795.96,-2334.82,,
SO - 0006692,Distributor,2020-07-19,2020-08-15,2020-08-16,USD,25,Patrick Graham,198,Kansas,KS,150683,389965,Wichita,20,Bar Tools,2,5%,3819,2711.49,381.9,-2329.59,,
SO - 0006406,In-Store,2020-06-17,2020-07-13,2020-07-14,USD,9,Joshua Ryan,350,Virginia,VA,98441,220173,Arlington,2,Photo Frames,1,7.50%,3973.1,2622.25,297.98,-2324.26,,
